Filters
Region filter: All
Infection type filter: Bloodstream
Bacterial pathogen filter: Klebsiella pneumoniae
Antibiotic filter: Meropenem

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
"XKX","Kosovo","European Region",2022,"BLOOD","Klebsiella pneumoniae","Meropenem",189,111,0,0
"LAO","Lao People's Democratic Republic","Western Pacific Region",2022,"BLOOD","Klebsiella pneumoniae","Meropenem",461,64,0,0
"MLT","Malta","European Region",2022,"BLOOD","Klebsiella pneumoniae","Meropenem",706,145,5,3.448275862
"MOZ","Mozambique","African Region",2022,"BLOOD","Klebsiella pneumoniae","Meropenem",80,25,4,16
"NPL","Nepal","South-East Asia Region",2022,"BLOOD","Klebsiella pneumoniae","Meropenem",2829,438,231,52.739726027
"MKD","North Macedonia","European Region",2022,"BLOOD","Klebsiella pneumoniae","Meropenem",279,99,3,3.03030303
"OMN","Oman","Eastern Mediterranean Region",2022,"BLOOD","Klebsiella pneumoniae","Meropenem",2075,326,154,47.239263804
"PHL","Philippines","Western Pacific Region",2022,"BLOOD","Klebsiella pneumoniae","Meropenem",5937,1473,343,23.28581127
"KOR","Republic of Korea","Western Pacific Region",2022,"BLOOD","Klebsiella pneumoniae","Meropenem",4484,1003,62,6.181455633
"SAU","Saudi Arabia","Eastern Mediterranean Region",2022,"BLOOD","Klebsiella pneumoniae","Meropenem",1962,659,304,46.130500759
"ZAF","South Africa","African Region",2022,"BLOOD","Klebsiella pneumoniae","Meropenem",24658,6842,1559,22.785735165
"CHE","Switzerland","European Region",2022,"BLOOD","Klebsiella pneumoniae","Meropenem",11308,1096,11,1.003649635
"THA","Thailand","South-East Asia Region",2022,"BLOOD","Klebsiella pneumoniae","Meropenem",9544,1657,221,13.337356669
"ARE","United Arab Emirates","Eastern Mediterranean Region",2022,"BLOOD","Klebsiella pneumoniae","Meropenem",4194,1079,204,18.90639481
"ARG","Argentina","Region of the Americas",2023,"BLOOD","Klebsiella pneumoniae","Meropenem",9290,2109,710,33.665244192
"BHR","Bahrain","Eastern Mediterranean Region",2023,"BLOOD","Klebsiella pneumoniae","Meropenem",964,231,85,36.796536797
"BIH","Bosnia and Herzegovina","European Region",2023,"BLOOD","Klebsiella pneumoniae","Meropenem",1271,379,168,44.327176781
"BRA","Brazil","Region of the Americas",2023,"BLOOD","Klebsiella pneumoniae","Meropenem",3041,743,305,41.049798116
"ETH","Ethiopia","African Region",2023,"BLOOD","Klebsiella pneumoniae","Meropenem",1761,467,190,40.685224839
"GEO","Georgia","European Region",2023,"BLOOD","Klebsiella pneumoniae","Meropenem",898,175,112,64
"IND","India","South-East Asia Region",2023,"BLOOD","Klebsiella pneumoniae","Meropenem",41375,8610,5405,62.775842044
"IDN","Indonesia","South-East Asia Region",2023,"BLOOD","Klebsiella pneumoniae","Meropenem",9180,2280,547,23.99122807
"IRN","Iran (Islamic Republic of)","Eastern Mediterranean Region",2023,"BLOOD","Klebsiella pneumoniae","Meropenem",2925,369,267,72.357723577
"JPN","Japan","Western Pacific Region",2023,"BLOOD","Klebsiella pneumoniae","Meropenem",169604,34891,58,0.16623198
"JOR","Jordan","Eastern Mediterranean Region",2023,"BLOOD","Klebsiella pneumoniae","Meropenem",3297,306,125,40.849673203
"XKX","Kosovo","European Region",2023,"BLOOD","Klebsiella pneumoniae","Meropenem",164,63,0,0
"LAO","Lao People's Democratic Republic","Western Pacific Region",2023,"BLOOD","Klebsiella pneumoniae","Meropenem",605,92,2,2.173913043
"MLT","Malta","European Region",2023,"BLOOD","Klebsiella pneumoniae","Meropenem",859,168,8,4.761904762
"MOZ","Mozambique","African Region",2023,"BLOOD","Klebsiella pneumoniae","Meropenem",51,17,3,17.647058824
"NPL","Nepal","South-East Asia Region",2023,"BLOOD","Klebsiella pneumoniae","Meropenem",2740,371,202,54.447439353
"MKD","North Macedonia","European Region",2023,"BLOOD","Klebsiella pneumoniae","Meropenem",283,95,24,25.263157895
"OMN","Oman","Eastern Mediterranean Region",2023,"BLOOD","Klebsiella pneumoniae","Meropenem",2586,578,170,29.411764706
"PHL","Philippines","Western Pacific Region",2023,"BLOOD","Klebsiella pneumoniae","Meropenem",7705,1870,443,23.689839572
"KOR","Republic of Korea","Western Pacific Region",2023,"BLOOD","Klebsiella pneumoniae","Meropenem",5416,1244,76,6.109324759
"SAU","Saudi Arabia","Eastern Mediterranean Region",2023,"BLOOD","Klebsiella pneumoniae","Meropenem",1927,514,234,45.525291829
"ZAF","South Africa","African Region",2023,"BLOOD","Klebsiella pneumoniae","Meropenem",26026,6849,1717,25.06935319
"CHE","Switzerland","European Region",2023,"BLOOD","Klebsiella pneumoniae","Meropenem",12511,1239,13,1.049233253
"THA","Thailand","South-East Asia Region",2023,"BLOOD","Klebsiella pneumoniae","Meropenem",14722,2390,482,20.167364017
"ARE","United Arab Emirates","Eastern Mediterranean Region",2023,"BLOOD","Klebsiella pneumoniae","Meropenem",3959,960,152,15.833333333
